txn_id,date,description,amount,account_type
132,2025-08-01,AMAZON MKTPLACE,-85.04,Checking
133,2025-10-29,DUNKIN DONUTS STORE 44,-60.9,Credit Card
134,2025-10-23,STARBUCKS COFFEE #123,-41.72,Credit Card
135,2025-08-06,DUNKIN DONUTS STORE 44,-93.68,Credit Card
136,2025-12-08,DUNKIN DONUTS STORE 44,-22.83,Credit Card
137,2025-02-13,DUNKIN DONUTS STORE 44,-13.02,Checking
138,2025-06-15,STARBUCKS COFFEE #123,-80.1,Checking
139,2025-08-06,APARTMENT RENT,-36.04,Checking
140,2025-04-22,NETFLIX.COM,-51.17,Checking
141,2025-04-05,NETFLIX.COM,-72.06,Credit Card
142,2025-10-31,AMAZON MKTPLACE,-81.44,Credit Card
143,2025-04-03,APARTMENT RENT,-54.05,Credit Card
144,2025-04-24,WALMART GROCERY,-13.37,Credit Card
145,2025-03-23,WALMART GROCERY,-49.49,Checking
146,2025-09-04,AMAZON MKTPLACE,-48.28,Credit Card
147,2025-12-22,STARBUCKS COFFEE #123,-81.91,Checking
148,2025-08-17,AMAZON MKTPLACE,-60.33,Credit Card
149,2025-09-23,NETFLIX.COM,-8.19,Credit Card
150,2025-12-21,AMAZON MKTPLACE,-89.08,Checking
151,2025-10-22,DUNKIN DONUTS STORE 44,-45.95,Credit Card
152,2025-01-21,DUNKIN DONUTS STORE 44,-92.67,Checking
153,2025-09-27,APARTMENT RENT,-53.81,Credit Card
154,2025-05-19,DUNKIN DONUTS STORE 44,-54.85,Checking
155,2025-01-20,WALMART GROCERY,-73.23,Checking
156,2025-06-10,DUNKIN DONUTS STORE 44,-85.82,Credit Card
157,2025-04-11,AMAZON MKTPLACE,-98.28,Credit Card
158,2025-04-17,AMAZON MKTPLACE,-28.56,Checking
159,2025-06-13,STARBUCKS COFFEE #123,-69.51,Credit Card
160,2025-12-10,APARTMENT RENT,-63.36,Credit Card
161,2025-09-09,APARTMENT RENT,-54.56,Credit Card
162,2025-07-18,AMAZON MKTPLACE,-86.74,Checking
163,2025-05-09,STARBUCKS COFFEE #123,-48.79,Checking
164,2025-05-16,APARTMENT RENT,-82.24,Checking
165,2025-09-05,AMAZON MKTPLACE,-65.48,Credit Card
166,2025-08-30,STARBUCKS COFFEE #123,-63.75,Checking
167,2025-08-16,APARTMENT RENT,-34.17,Credit Card
168,2025-02-10,DUNKIN DONUTS STORE 44,-26.28,Checking
169,2025-09-29,AMAZON MKTPLACE,-43.34,Checking
170,2025-10-08,AMAZON MKTPLACE,-56.98,Credit Card
171,2025-06-19,APARTMENT RENT,-28.66,Checking
172,2025-12-08,NETFLIX.COM,-75.0,Credit Card
173,2025-08-25,STARBUCKS COFFEE #123,-80.57,Credit Card
174,2025-04-24,WALMART GROCERY,-62.03,Credit Card
175,2025-04-24,AMAZON MKTPLACE,-26.38,Credit Card
176,2025-05-27,SALARY DEPOSIT,-85.45,Checking
177,2025-09-16,WALMART GROCERY,-51.2,Checking
178,2025-12-19,AMAZON MKTPLACE,-80.53,Checking
179,2025-03-28,APARTMENT RENT,-9.1,Credit Card
180,2025-11-09,WALMART GROCERY,-46.0,Checking
181,2025-03-05,DUNKIN DONUTS STORE 44,-11.44,Credit Card
182,2025-04-08,AMAZON MKTPLACE,-32.15,Checking
183,2025-02-12,SALARY DEPOSIT,-92.41,Checking
184,2025-04-03,WALMART GROCERY,-46.93,Checking
185,2025-06-08,NETFLIX.COM,-30.83,Checking
186,2025-05-24,AMAZON MKTPLACE,-89.82,Checking
187,2025-05-06,NETFLIX.COM,-56.51,Checking
188,2025-11-03,STARBUCKS COFFEE #123,-66.57,Credit Card
189,2025-11-24,APARTMENT RENT,-28.42,Checking
190,2025-09-01,NETFLIX.COM,-87.83,Credit Card
191,2025-10-16,WALMART GROCERY,-29.26,Checking
192,2025-05-12,NETFLIX.COM,-48.17,Checking
193,2025-12-27,APARTMENT RENT,-96.87,Credit Card
194,2025-01-22,SALARY DEPOSIT,-48.87,Checking
195,2025-11-02,WALMART GROCERY,-12.71,Credit Card
196,2025-11-29,APARTMENT RENT,-47.36,Checking
197,2025-10-17,STARBUCKS COFFEE #123,-56.83,Credit Card
198,2025-05-24,DUNKIN DONUTS STORE 44,-55.92,Credit Card
199,2025-03-20,WALMART GROCERY,-62.08,Checking
200,2025-04-18,WALMART GROCERY,-43.72,Credit Card
201,2025-08-14,STARBUCKS COFFEE #123,-62.96,Credit Card
202,2025-11-25,AMAZON MKTPLACE,-67.7,Credit Card
203,2025-08-09,APARTMENT RENT,-9.03,Credit Card
204,2025-01-29,DUNKIN DONUTS STORE 44,-83.88,Credit Card
205,2025-05-31,APARTMENT RENT,-49.47,Credit Card
206,2025-07-04,APARTMENT RENT,-88.25,Credit Card
207,2025-09-05,APARTMENT RENT,-36.41,Credit Card
208,2025-09-05,WALMART GROCERY,-37.26,Credit Card
209,2025-11-24,NETFLIX.COM,-35.51,Checking
210,2025-02-10,STARBUCKS COFFEE #123,-93.9,Credit Card
211,2025-08-02,DUNKIN DONUTS STORE 44,-87.3,Credit Card
212,2025-04-01,APARTMENT RENT,-93.99,Credit Card
213,2025-02-04,STARBUCKS COFFEE #123,-27.98,Checking
214,2025-11-09,SALARY DEPOSIT,-41.96,Checking
215,2025-08-08,DUNKIN DONUTS STORE 44,-38.19,Credit Card
216,2025-08-02,STARBUCKS COFFEE #123,-15.98,Credit Card
217,2025-12-26,APARTMENT RENT,-6.12,Checking
218,2025-06-07,WALMART GROCERY,-5.65,Checking
219,2025-02-17,STARBUCKS COFFEE #123,-59.91,Credit Card
220,2025-09-12,WALMART GROCERY,-77.52,Checking
221,2025-06-23,WALMART GROCERY,-48.39,Checking
222,2025-08-22,AMAZON MKTPLACE,-97.19,Credit Card
223,2025-11-26,STARBUCKS COFFEE #123,-24.96,Checking
224,2025-05-25,AMAZON MKTPLACE,-63.45,Credit Card
225,2025-03-03,APARTMENT RENT,-81.58,Checking
226,2025-10-03,WALMART GROCERY,-97.87,Checking
227,2025-09-24,DUNKIN DONUTS STORE 44,-69.27,Checking
228,2025-09-27,APARTMENT RENT,-11.73,Checking
229,2025-03-01,WALMART GROCERY,-44.8,Credit Card
230,2025-03-12,WALMART GROCERY,-29.64,Checking
231,2025-06-11,NETFLIX.COM,-16.38,Credit Card
232,2025-01-24,DUNKIN DONUTS STORE 44,-37.39,Checking
233,2025-05-14,SALARY DEPOSIT,-36.36,Credit Card
234,2025-09-24,SALARY DEPOSIT,-89.18,Checking
235,2025-02-01,SALARY DEPOSIT,-27.46,Credit Card
236,2025-06-15,DUNKIN DONUTS STORE 44,-54.27,Checking
237,2025-02-08,WALMART GROCERY,-7.5,Credit Card
238,2025-11-12,DUNKIN DONUTS STORE 44,-95.92,Checking
239,2025-08-25,NETFLIX.COM,-31.66,Credit Card
240,2025-02-13,STARBUCKS COFFEE #123,-20.06,Checking
241,2025-06-18,APARTMENT RENT,-44.35,Credit Card
242,2025-04-25,NETFLIX.COM,-70.3,Credit Card
243,2025-10-24,APARTMENT RENT,-63.5,Credit Card
244,2025-03-07,APARTMENT RENT,-38.26,Credit Card
245,2025-11-28,AMAZON MKTPLACE,-29.24,Credit Card
246,2025-10-19,WALMART GROCERY,-34.42,Checking
247,2025-04-13,WALMART GROCERY,-38.56,Checking
248,2025-09-14,WALMART GROCERY,-38.79,Checking
249,2025-06-20,AMAZON MKTPLACE,-76.07,Checking
250,2025-11-20,DUNKIN DONUTS STORE 44,-89.7,Checking
251,2025-10-08,NETFLIX.COM,-88.04,Credit Card
252,2025-12-23,AMAZON MKTPLACE,-80.05,Checking
253,2025-09-05,APARTMENT RENT,-90.57,Checking
254,2025-12-19,WALMART GROCERY,-53.69,Checking
255,2025-12-25,WALMART GROCERY,-69.89,Credit Card
256,2025-08-18,AMAZON MKTPLACE,-63.61,Credit Card
257,2025-04-03,NETFLIX.COM,-53.93,Credit Card
258,2025-05-08,DUNKIN DONUTS STORE 44,-87.95,Credit Card
259,2025-11-22,STARBUCKS COFFEE #123,-78.1,Checking
260,2025-02-23,STARBUCKS COFFEE #123,-73.18,Checking
261,2025-05-25,APARTMENT RENT,-99.0,Checking
262,2025-11-09,DUNKIN DONUTS STORE 44,-87.26,Credit Card
263,2025-07-29,NETFLIX.COM,-13.28,Credit Card
264,2025-04-11,DUNKIN DONUTS STORE 44,-37.16,Credit Card
265,2025-07-31,APARTMENT RENT,-95.04,Credit Card
266,2025-02-22,NETFLIX.COM,-53.88,Credit Card
267,2025-06-25,NETFLIX.COM,-73.7,Credit Card
268,2025-11-18,SALARY DEPOSIT,-56.09,Checking
269,2025-04-23,DUNKIN DONUTS STORE 44,-39.0,Checking
270,2025-04-27,SALARY DEPOSIT,-49.98,Credit Card
271,2025-12-02,SALARY DEPOSIT,-66.74,Checking
272,2025-03-24,WALMART GROCERY,-43.33,Checking
273,2025-01-12,STARBUCKS COFFEE #123,-31.62,Credit Card
274,2025-11-18,DUNKIN DONUTS STORE 44,-75.49,Checking
275,2025-09-25,STARBUCKS COFFEE #123,-25.0,Credit Card
276,2025-12-30,NETFLIX.COM,-89.72,Credit Card
277,2025-05-31,APARTMENT RENT,-87.84,Credit Card
278,2025-08-08,AMAZON MKTPLACE,-95.83,Checking
279,2025-03-10,STARBUCKS COFFEE #123,-63.03,Checking
280,2025-02-03,APARTMENT RENT,-9.09,Credit Card
281,2025-01-21,SALARY DEPOSIT,-71.51,Credit Card
282,2025-04-23,AMAZON MKTPLACE,-45.95,Credit Card
283,2025-10-13,DUNKIN DONUTS STORE 44,-52.86,Checking
284,2025-03-07,DUNKIN DONUTS STORE 44,-26.19,Checking
285,2025-07-08,NETFLIX.COM,-77.1,Credit Card
286,2025-09-21,DUNKIN DONUTS STORE 44,-82.89,Checking
287,2025-01-16,SALARY DEPOSIT,-57.47,Credit Card
288,2025-06-21,WALMART GROCERY,-88.72,Credit Card
289,2025-08-11,DUNKIN DONUTS STORE 44,-34.94,Credit Card
290,2025-08-15,NETFLIX.COM,-14.2,Credit Card
291,2025-02-21,DUNKIN DONUTS STORE 44,-64.47,Credit Card
292,2025-03-06,APARTMENT RENT,-33.86,Checking
293,2025-12-16,AMAZON MKTPLACE,-57.29,Checking
294,2025-12-20,WALMART GROCERY,-18.17,Credit Card
295,2025-10-14,APARTMENT RENT,-32.66,Checking
296,2025-11-28,STARBUCKS COFFEE #123,-66.86,Credit Card
297,2025-06-05,STARBUCKS COFFEE #123,-47.15,Checking
298,2025-06-14,APARTMENT RENT,-78.71,Checking
299,2025-05-11,APARTMENT RENT,-32.51,Checking
300,2025-07-25,NETFLIX.COM,-16.09,Credit Card
301,2025-08-03,DUNKIN DONUTS STORE 44,-96.14,Credit Card
302,2025-10-08,STARBUCKS COFFEE #123,-72.75,Checking
303,2025-01-29,WALMART GROCERY,-10.43,Credit Card
304,2025-10-12,AMAZON MKTPLACE,-98.25,Checking
305,2025-12-14,SALARY DEPOSIT,-42.09,Credit Card
306,2025-06-28,APARTMENT RENT,-32.19,Checking
307,2025-11-27,APARTMENT RENT,-63.33,Checking
308,2025-08-24,DUNKIN DONUTS STORE 44,-5.5,Checking
309,2025-02-16,SALARY DEPOSIT,-17.59,Checking
310,2025-07-23,DUNKIN DONUTS STORE 44,-6.19,Checking
311,2025-11-14,WALMART GROCERY,-48.5,Credit Card
312,2025-09-07,AMAZON MKTPLACE,-45.16,Credit Card
313,2025-11-29,DUNKIN DONUTS STORE 44,-25.2,Credit Card
314,2025-12-25,SALARY DEPOSIT,-93.38,Credit Card
315,2025-11-21,NETFLIX.COM,-66.5,Credit Card
316,2025-01-23,APARTMENT RENT,-50.65,Checking
317,2025-04-22,WALMART GROCERY,-97.88,Credit Card
318,2025-06-01,DUNKIN DONUTS STORE 44,-48.7,Checking
319,2025-04-28,NETFLIX.COM,-95.6,Credit Card
320,2025-08-03,NETFLIX.COM,-6.32,Checking
321,2025-02-18,STARBUCKS COFFEE #123,-68.92,Checking
322,2025-05-30,STARBUCKS COFFEE #123,-79.48,Checking
323,2025-03-04,STARBUCKS COFFEE #123,-23.29,Credit Card
324,2025-04-30,DUNKIN DONUTS STORE 44,-47.2,Checking
325,2025-02-04,APARTMENT RENT,-79.4,Credit Card
326,2025-04-24,DUNKIN DONUTS STORE 44,-51.09,Checking
327,2025-06-18,DUNKIN DONUTS STORE 44,-61.4,Credit Card
328,2025-11-06,STARBUCKS COFFEE #123,-26.55,Checking
329,2025-01-22,NETFLIX.COM,-64.37,Credit Card
330,2025-04-24,STARBUCKS COFFEE #123,-12.85,Checking
331,2025-08-10,NETFLIX.COM,-64.74,Checking
332,2025-06-28,APARTMENT RENT,-34.22,Credit Card
333,2025-08-07,SALARY DEPOSIT,-19.55,Credit Card
334,2025-03-31,DUNKIN DONUTS STORE 44,-21.95,Checking
335,2025-12-01,NETFLIX.COM,-94.31,Checking
336,2025-05-26,STARBUCKS COFFEE #123,-8.68,Credit Card
337,2025-12-23,DUNKIN DONUTS STORE 44,-84.04,Checking
338,2025-07-30,DUNKIN DONUTS STORE 44,-59.73,Checking
339,2025-03-28,AMAZON MKTPLACE,-99.45,Credit Card
340,2025-12-07,APARTMENT RENT,-33.86,Checking
341,2025-11-16,APARTMENT RENT,-5.08,Credit Card
342,2025-08-19,DUNKIN DONUTS STORE 44,-79.14,Credit Card
343,2025-10-27,NETFLIX.COM,-86.98,Checking
344,2025-02-20,STARBUCKS COFFEE #123,-91.22,Checking
345,2025-01-27,DUNKIN DONUTS STORE 44,-82.62,Credit Card
346,2025-03-16,STARBUCKS COFFEE #123,-89.48,Credit Card
347,2025-03-27,STARBUCKS COFFEE #123,-83.26,Credit Card
348,2025-01-16,APARTMENT RENT,-77.18,Checking
349,2025-03-07,DUNKIN DONUTS STORE 44,-19.01,Credit Card
350,2025-08-28,AMAZON MKTPLACE,-78.3,Credit Card
351,2025-10-03,DUNKIN DONUTS STORE 44,-45.97,Checking
352,2025-09-18,AMAZON MKTPLACE,-96.68,Credit Card
353,2025-05-19,APARTMENT RENT,-28.03,Checking
354,2025-09-26,WALMART GROCERY,-17.05,Credit Card
355,2025-01-19,AMAZON MKTPLACE,-65.3,Checking
356,2025-09-10,AMAZON MKTPLACE,-66.42,Checking
357,2025-05-07,DUNKIN DONUTS STORE 44,-41.52,Checking
358,2025-03-21,NETFLIX.COM,-74.89,Credit Card
359,2025-12-10,APARTMENT RENT,-20.58,Checking
360,2025-03-03,DUNKIN DONUTS STORE 44,-52.38,Checking
361,2025-12-12,DUNKIN DONUTS STORE 44,-70.47,Credit Card
362,2025-04-09,SALARY DEPOSIT,-43.49,Checking
363,2025-07-04,WALMART GROCERY,-12.59,Checking
364,2025-12-23,DUNKIN DONUTS STORE 44,-41.94,Checking
365,2025-05-11,NETFLIX.COM,-76.49,Credit Card
366,2025-03-30,APARTMENT RENT,-92.69,Checking
367,2025-12-26,NETFLIX.COM,-26.23,Checking
368,2025-11-09,NETFLIX.COM,-77.49,Checking
369,2025-09-06,NETFLIX.COM,-84.35,Credit Card
370,2025-03-15,APARTMENT RENT,-88.66,Credit Card
371,2025-03-15,AMAZON MKTPLACE,-42.58,Checking
372,2025-06-25,STARBUCKS COFFEE #123,-26.21,Checking
373,2025-08-25,APARTMENT RENT,-74.62,Checking
374,2025-11-16,SALARY DEPOSIT,-60.78,Credit Card
375,2025-04-05,NETFLIX.COM,-96.26,Credit Card
376,2025-07-23,STARBUCKS COFFEE #123,-55.34,Checking
377,2025-06-12,SALARY DEPOSIT,-54.45,Checking
378,2025-01-22,APARTMENT RENT,-99.44,Checking
379,2025-10-01,SALARY DEPOSIT,-11.42,Credit Card
380,2025-07-05,DUNKIN DONUTS STORE 44,-24.92,Credit Card
381,2025-08-16,NETFLIX.COM,-65.98,Checking
382,2025-09-16,DUNKIN DONUTS STORE 44,-39.5,Credit Card
383,2025-10-10,NETFLIX.COM,-13.53,Checking
384,2025-10-29,STARBUCKS COFFEE #123,-12.64,Checking
385,2025-03-26,WALMART GROCERY,-22.28,Checking
386,2025-12-03,WALMART GROCERY,-6.93,Checking
387,2025-11-02,STARBUCKS COFFEE #123,-39.91,Checking
388,2025-03-09,APARTMENT RENT,-93.22,Credit Card
389,2025-03-20,DUNKIN DONUTS STORE 44,-93.48,Checking
390,2025-05-28,NETFLIX.COM,-61.72,Checking
391,2025-07-18,NETFLIX.COM,-8.09,Credit Card
392,2025-04-04,DUNKIN DONUTS STORE 44,-93.33,Checking
393,2025-10-12,WALMART GROCERY,-73.07,Checking
394,2025-06-11,WALMART GROCERY,-49.2,Credit Card
395,2025-06-06,WALMART GROCERY,-96.47,Checking
396,2025-01-31,SALARY DEPOSIT,-66.49,Credit Card
397,2025-04-30,NETFLIX.COM,-73.61,Checking
398,2025-07-16,NETFLIX.COM,-61.83,Credit Card
399,2025-09-09,STARBUCKS COFFEE #123,-40.68,Checking
400,2025-11-05,WALMART GROCERY,-82.33,Credit Card
401,2025-03-18,WALMART GROCERY,-98.99,Credit Card
402,2025-02-17,DUNKIN DONUTS STORE 44,-66.75,Credit Card
403,2025-06-21,WALMART GROCERY,-19.43,Credit Card
404,2025-09-22,STARBUCKS COFFEE #123,-93.33,Checking
405,2025-10-04,NETFLIX.COM,-92.94,Checking
406,2025-03-29,APARTMENT RENT,-99.92,Credit Card
407,2025-08-01,WALMART GROCERY,-21.16,Checking
408,2025-03-05,STARBUCKS COFFEE #123,-48.53,Checking
409,2025-05-06,DUNKIN DONUTS STORE 44,-43.44,Credit Card
410,2025-02-27,NETFLIX.COM,-36.6,Credit Card
411,2025-02-12,SALARY DEPOSIT,-46.58,Credit Card
412,2025-08-02,STARBUCKS COFFEE #123,-46.65,Checking
413,2025-02-25,AMAZON MKTPLACE,-63.97,Credit Card
414,2025-08-28,WALMART GROCERY,-13.97,Checking
415,2025-12-01,WALMART GROCERY,-98.16,Checking
416,2025-01-14,DUNKIN DONUTS STORE 44,-60.77,Credit Card
417,2025-09-05,SALARY DEPOSIT,-97.53,Checking
418,2025-08-08,WALMART GROCERY,-91.4,Credit Card
419,2025-10-23,WALMART GROCERY,-22.58,Checking
420,2025-04-30,DUNKIN DONUTS STORE 44,-66.29,Credit Card
421,2025-07-17,SALARY DEPOSIT,-27.85,Credit Card
422,2025-05-12,STARBUCKS COFFEE #123,-94.53,Credit Card
423,2025-06-03,STARBUCKS COFFEE #123,-53.45,Credit Card
424,2025-10-14,SALARY DEPOSIT,-62.88,Checking
425,2025-11-13,WALMART GROCERY,-5.45,Checking
426,2025-09-07,APARTMENT RENT,-74.34,Credit Card
427,2025-01-05,APARTMENT RENT,-63.53,Credit Card
428,2025-01-07,NETFLIX.COM,-26.81,Checking
429,2025-02-09,NETFLIX.COM,-54.7,Checking
430,2025-03-09,AMAZON MKTPLACE,-52.52,Credit Card
431,2025-02-09,SALARY DEPOSIT,-68.95,Credit Card
432,2025-12-22,NETFLIX.COM,-25.45,Checking
433,2025-02-11,APARTMENT RENT,-99.02,Checking
434,2025-11-20,DUNKIN DONUTS STORE 44,-62.21,Credit Card
435,2025-09-22,STARBUCKS COFFEE #123,-22.46,Credit Card
436,2025-09-16,WALMART GROCERY,-7.21,Checking
437,2025-06-08,NETFLIX.COM,-95.95,Checking
438,2025-04-21,STARBUCKS COFFEE #123,-10.27,Checking
439,2025-12-02,STARBUCKS COFFEE #123,-97.55,Credit Card
440,2025-06-18,STARBUCKS COFFEE #123,-26.22,Credit Card
441,2025-07-03,WALMART GROCERY,-67.5,Credit Card
442,2025-11-11,DUNKIN DONUTS STORE 44,-90.8,Checking
443,2025-12-04,AMAZON MKTPLACE,-17.43,Credit Card
